"yPos","xPos","race","lat","lon"
1196,1482,"Black",38.87963,-76.93439
1104,1315,"Black",38.88851,-76.95539
556,1178,"Black",38.94192,-76.97251
1289,1121,"Black",38.87053,-76.97963
1404,981,"Black",38.85933,-76.99716
975,983,"Black",38.90109,-76.99695
1739,999,"Black",38.82676,-76.99485
899,1447,"Black",38.90853,-76.93886
1750,941,"Black",38.82571,-77.00214
710,901,"Black",38.92691,-77.00712
1189,1526,"Black",38.88025,-76.92896
549,1039,"Black",38.94251,-76.98983
1094,1335,"Black",38.88954,-76.95278
628,115,"Black",38.93482,-77.10562
783,840,"Black",38.91977,-77.01487
749,973,"Black",38.92312,-76.9981
1159,1122,"Black",38.8832131689563,-76.9794700612792
941,1107,"Black",38.90445,-76.98133
842,1414,"Black",38.91407,-76.9429
418,812,"Black",38.95531,-77.01837
615,248,"Black",38.93613,-77.08898
1537,934,"Black",38.84644,-77.00301
329,692,"Black",38.96399,-77.03339
847,787,"Black",38.9136,-77.02139
1035,1652,"Black",38.8953,-76.91316
1391,1180,"Black",38.86063,-76.97221
1676,1049,"Black",38.83287,-76.98863
851,1442,"Black",38.91315,-76.93944
1254,854,"Black",38.873979015071,-77.0131154856689
474,1021,"Black",38.94982,-76.9921
1470,1181,"Black",38.85296,-76.97208
483,641,"Black",38.94894,-77.03978
1556,1177,"Black",38.84454,-76.97257
345,831,"Black",38.9623798789586,-77.0160000182928
940,806,"Black",38.90447,-77.01907
1194,1159,"Black",38.87981,-76.97493
570,819,"Black",38.94049,-77.01748
1476,1199,"Black",38.85235,-76.96987
1184,1526,"Black",38.8808,-76.92893
449,873,"Black",38.95232,-77.01068
172,752,"Black",38.97922,-77.02579
924,1030,"Black",38.90604,-76.99104
399,829,"Black",38.9571057126365,-77.0161598933984
1772,873,"Black",38.82356,-77.01074
1489,1197,"Black",38.8510994212451,-76.9700578466875
1545,1192,"Black",38.84566,-76.9707
1114,1324,"Black",38.88757,-76.95417
772,1118,"Black",38.92084,-76.98001
1306,1095,"Black",38.86886,-76.9829
968,1556,"Black",38.90181,-76.92511
1337,1338,"Black",38.86591,-76.95242
1498,1221,"Black",38.8502,-76.9671
989,1407,"Black",38.899755192679,-76.9438552498665
420,1038,"Black",38.95515,-76.99007
1352,1163,"Black",38.86442,-76.97433
1422,971,"Black",38.85762,-76.99836
