yPos,xPos,race,lat,lon,age
1196,1494,Black,38.87963,-77.04744,70
1104,1313,Black,38.88851,-77.05585,55
556,1178,Black,38.94192,-77.06214,63
1289,1121,Black,38.87053,-77.06479,68
1404,981,Black,38.85933,-77.0713,70
975,1567,Black,38.9010904101371,-77.0440385212333,73
1739,871,Black,38.8267590218067,-77.0764390229506,79
899,1500,Black,38.90853,-77.04717,56
1750,942,Black,38.82571,-77.07313,71
710,901,Black,38.92691,-77.075,66
1189,1526,Black,38.88025,-77.04596,61
549,1040,Black,38.94251,-77.06854,64
1094,1446,Black,38.88954,-77.04967,51
628,1181,Black,38.9348202100574,-77.0619751290533,62
783,841,Black,38.91977,-77.0778,71
749,970,Black,38.92312,-77.07181,71
1159,1122,Black,38.8832131689563,-77.0647274434339,66
941,1096,Black,38.90445,-77.06595,62
842,870,Black,38.9140655006512,-77.0764410669825,62
418,812,Black,38.95531,-77.07918,64
615,182,Black,38.93613,-77.10849,55
1537,934,Black,38.84644,-77.07349,51
329,692,Black,38.96399,-77.08474,61
847,749,Black,38.9136,-77.08208,66
1035,1532,Black,38.8952985348713,-77.045681695115,62
1391,1211,Black,38.86063,-77.06061,66
1676,896,Black,38.8328684491145,-77.0752694414391,79
851,1057,Black,38.9131486363554,-77.0677464768848,56
1254,854,Black,38.873979015071,-77.0772278401088,67
474,1036,Black,38.94982,-77.06876,69
1470,1181,Black,38.85296,-77.06198,68
483,638,Black,38.94894,-77.08726,79
1556,1177,Black,38.84454,-77.06217,67
345,690,Black,38.9623784759726,-77.0848440653998,67
940,804,Black,38.90447,-77.07952,49
1194,1158,Black,38.87981,-77.06308,66
570,829,Black,38.94049,-77.07835,62
1476,1197,Black,38.85235,-77.06123,70
1184,1527,Black,38.8808,-77.04588,68
449,873,Black,38.95232,-77.07635,54
172,765,Black,38.97922,-77.08136,72
924,876,Black,38.90604,-77.07618,78
399,803,Black,38.9571055724654,-77.0795730853858,68
1772,870,Black,38.8235632362726,-77.0764589282808,62
1489,1197,Black,38.8510994212451,-77.0612304919726,67
1545,1194,Black,38.84566,-77.06137,64
1114,1324,Black,38.88757,-77.05534,62
772,1118,Black,38.92084,-77.06493,72
1306,1061,Black,38.86886,-77.06756,54
968,989,Black,38.9018078367603,-77.0709255225136,62
