"","VID","yPos","xPos","race","lat","lon"
"1",61365,1196,1494,"Black",38.87963,-77.04744
"2",55963,1104,1313,"Black",38.88851,-77.05585
"3",64885,556,1178,"Black",38.94192,-77.06214
"4",26486,1289,1121,"Black",38.87053,-77.06479
"5",66854,1404,981,"Black",38.85933,-77.0713
"6",27595,975,1567,"Black",38.9010904101371,-77.0440385212333
"7",69778,1739,871,"Black",38.8267590218067,-77.0764390229506
"8",71781,899,1500,"Black",38.90853,-77.04717
"9",69119,1750,942,"Black",38.82571,-77.07313
"10",65486,710,901,"Black",38.92691,-77.075
"11",62026,1189,1526,"Black",38.88025,-77.04596
"12",76629,549,1040,"Black",38.94251,-77.06854
"13",53086,1094,1446,"Black",38.88954,-77.04967
"14",87818,628,1181,"Black",38.9348202100574,-77.0619751290533
"15",60032,783,841,"Black",38.91977,-77.0778
"16",83155,749,970,"Black",38.92312,-77.07181
"17",13138,1159,1122,"Black",38.8832131689563,-77.0647274434339
"18",39816,941,1096,"Black",38.90445,-77.06595
"19",28942,842,870,"Black",38.9140655006512,-77.0764410669825
"20",75224,418,812,"Black",38.95531,-77.07918
"21",36778,615,182,"Black",38.93613,-77.10849
"22",24243,1537,934,"Black",38.84644,-77.07349
"23",44319,329,692,"Black",38.96399,-77.08474
"24",57742,847,749,"Black",38.9136,-77.08208
"25",51389,1035,1532,"Black",38.8952985348713,-77.045681695115
"26",23170,1391,1211,"Black",38.86063,-77.06061
"27",53102,1676,896,"Black",38.8328684491145,-77.0752694414391
"28",40794,851,1057,"Black",38.9131486363554,-77.0677464768848
"29",26918,1254,854,"Black",38.873979015071,-77.0772278401088
"30",13029,474,1036,"Black",38.94982,-77.06876
"31",30764,1470,1181,"Black",38.85296,-77.06198
"32",69026,483,638,"Black",38.94894,-77.08726
"33",23936,1556,1177,"Black",38.84454,-77.06217
"34",89741,345,690,"Black",38.9623784759726,-77.0848440653998
"35",45954,940,804,"Black",38.90447,-77.07952
"36",13400,1194,1158,"Black",38.87981,-77.06308
"37",36746,570,829,"Black",38.94049,-77.07835
"38",74938,1476,1197,"Black",38.85235,-77.06123
"39",26207,1184,1527,"Black",38.8808,-77.04588
"40",38858,449,873,"Black",38.95232,-77.07635
"41",68187,172,765,"Black",38.97922,-77.08136
"42",12367,924,876,"Black",38.90604,-77.07618
"43",55194,399,803,"Black",38.9571055724654,-77.0795730853858
"44",24637,1772,870,"Black",38.8235632362726,-77.0764589282808
"45",27920,1489,1197,"Black",38.8510994212451,-77.0612304919726
"46",47236,1545,1194,"Black",38.84566,-77.06137
"47",31612,1114,1324,"Black",38.88757,-77.05534
"48",40066,772,1118,"Black",38.92084,-77.06493
"49",11733,1306,1061,"Black",38.86886,-77.06756
"50",88932,968,989,"Black",38.9018078367603,-77.0709255225136
"51",82230,1337,1338,"Black",38.86591,-77.05468
"52",25524,1498,1100,"Black",38.8501975057482,-77.0657392070701
"53",32004,989,1407,"Black",38.899755192679,-77.0514953538337
"54",17122,420,1038,"Black",38.95515,-77.06867
"55",48656,1352,1163,"Black",38.86442,-77.06282
"56",46692,1422,1166,"Black",38.8576234388264,-77.0626709114315
"57",40762,1485,1235,"Black",38.85149,-77.05947
"58",83636,990,1140,"Black",38.8996293779063,-77.0639214556791
"59",69468,950,1551,"Black",38.90357,-77.0448
"60",83612,1588,1084,"Black",38.8414672214878,-77.0665041880429
"61",28103,1556,1073,"Black",38.84455,-77.067
"62",28356,1738,983,"Black",38.82691,-77.07123
"63",23522,1160,1279,"Black",38.88307,-77.05742
"64",14420,977,1176,"Black",38.90096,-77.06221
"65",74632,1500,1214,"Black",38.8499854242996,-77.0604624425431
"66",64141,965,1550,"Black",38.90211,-77.04482
"67",23781,219,746,"Black",38.97465,-77.08223
"68",45788,1136,1061,"Black",38.88547,-77.06757
"69",81564,1359,1335,"Black",38.8637766440922,-77.0548071061889
"70",12232,1041,1470,"Black",38.8946807800872,-77.0485288998619
"71",32517,1154,1347,"Black",38.88367,-77.05429
"72",66828,1424,1234,"Black",38.85746,-77.05955
"73",15240,1521,1137,"Black",38.84803,-77.06405
"74",51298,819,955,"Black",38.91624,-77.07251
"75",40768,474,706,"Black",38.94985,-77.08407
"76",12245,1021,1095,"Black",38.89659,-77.066
"77",12226,939,1131,"Black",38.90465,-77.06431
"78",37385,1424,1227,"Black",38.85746,-77.05984
"79",37927,403,840,"Black",38.95672,-77.07787
"80",20903,1307,1075,"Black",38.86882,-77.06692
"81",27598,408,690,"Black",38.95631,-77.08483
"82",36569,958,1165,"Black",38.9027190011641,-77.0627483478181
"83",83354,975,983,"Black",38.90109,-77.0712
"84",11559,399,705,"Black",38.95717,-77.08414
"85",45358,1159,1496,"Black",38.8831561360408,-77.0473425780736
"86",87662,116,740,"Black",38.98466,-77.0825
"87",65275,1352,1258,"Black",38.8644425655985,-77.0584272549985
"88",55025,1227,1211,"Black",38.87654,-77.06059
"89",21248,1235,796,"Black",38.87584,-77.07988
"90",18016,1178,846,"Black",38.8814,-77.07756
"91",75351,741,975,"Black",38.92384,-77.07159
"92",89258,1106,1360,"Black",38.88837,-77.05367
"93",28885,1658,921,"Black",38.83465,-77.07407
"94",87348,959,1470,"Black",38.90264,-77.04855
"95",13132,1226,837,"Black",38.87667,-77.078
"96",65339,816,836,"Black",38.91662,-77.07804
"97",79014,1137,1131,"Black",38.88531,-77.06432
"98",89101,782,322,"Black",38.91987,-77.10196
"99",78529,1182,1436,"Black",38.88095,-77.05015
"100",54411,1264,1137,"Black",38.87295,-77.06403
"101",31601,1504,1087,"Black",38.8496456441927,-77.0663482026804
"102",32148,1147,1324,"Black",38.88439,-77.05534
"103",36177,490,731,"Black",38.94826,-77.08294
"104",86533,1517,1067,"Black",38.84833,-77.06729
"105",71616,1519,910,"Black",38.84814,-77.07462
"106",61671,1535,963,"Black",38.84665,-77.07212
"107",58726,1270,822,"Black",38.8724023333661,-77.0786912810416
"108",52926,1174,1495,"Black",38.88177,-77.04739
"109",67622,590,656,"Black",38.93859,-77.0864
"110",86790,1093,1320,"Black",38.8896577612098,-77.0555278272039
"111",12322,907,1082,"Black",38.90776,-77.06659
"112",66564,514,901,"Black",38.94596,-77.075
"113",21317,560,830,"Black",38.94145,-77.07831
"114",42089,1723,929,"Black",38.82837,-77.07372
"115",80601,763,1371,"Black",38.92172,-77.05318
"116",88939,1461,1052,"Black",38.85384,-77.06797
"117",88755,1026,1111,"Black",38.89616,-77.06524
"118",83078,705,809,"Black",38.9274142374391,-77.0792854826383
"119",38027,1229,1504,"Black",38.87643,-77.04699
"120",40789,1391,946,"Black",38.86064,-77.07294
"121",39021,630,1111,"Black",38.93464,-77.06523
"122",76866,1209,1021,"Black",38.87837,-77.06944
"123",26134,341,760,"Black",38.96282,-77.08156
"124",89584,708,1118,"Black",38.92712,-77.06491
"125",73852,1242,845,"Black",38.87511,-77.0776
"126",82408,1411,1036,"Black",38.85873,-77.06876
"127",19770,912,1499,"Black",38.90722,-77.04721
"128",43238,1157,1372,"Black",38.88344,-77.0531
"129",19744,1337,1107,"Black",38.86592,-77.06545
"130",76875,924,1111,"Black",38.9060632958688,-77.0652370192685
"131",68661,1568,1060,"Black",38.84343035016,-77.0676314443799
"132",42290,956,986,"Black",38.90296,-77.07105
"133",55888,568,821,"Black",38.9407,-77.07873
"134",70324,728,692,"Black",38.92513,-77.08477
"135",78064,1026,1147,"Black",38.8961048509854,-77.0635581451328
"136",60748,1663,1027,"Black",38.83419,-77.06918
"137",34592,1212,1058,"Black",38.87805,-77.06774
"138",32249,525,904,"Black",38.9448958044279,-77.0748578397583
"139",82085,834,787,"Black",38.91482,-77.08032
"140",40216,1528,1091,"Black",38.8473,-77.06619
"141",21080,1520,1207,"Black",38.84811,-77.06077
"142",86298,1554,964,"Black",38.8448,-77.0721
"143",22248,1173,1495,"Black",38.88186,-77.0474
"144",40277,1284,845,"Black",38.87101,-77.07762
"145",73568,315,779,"Black",38.96531,-77.08071
"146",80297,1020,1043,"Black",38.8967687533319,-77.0683995078986
"147",80120,1229,1451,"Black",38.8763519246801,-77.0494479377109
"148",11469,1762,933,"Black",38.82457,-77.07353
"149",87011,655,1214,"Black",38.9322734813255,-77.0604641897335
"150",13549,653,1229,"Black",38.93243,-77.05975
"151",54946,937,1160,"Black",38.904823789886,-77.0629653012616
"152",87647,1176,1043,"Black",38.88159,-77.06839
"153",56161,1428,1017,"Black",38.85698,-77.0696
"154",53635,1070,1581,"Black",38.8919,-77.0434
"155",42681,1664,1012,"Black",38.83403,-77.06986
"156",77482,1289,1146,"Black",38.8705666889846,-77.0636405767618
"157",56107,1381,1300,"Black",38.86161,-77.05644
"158",54168,487,964,"Black",38.94862,-77.07211
"159",86391,1808,880,"Black",38.82002,-77.07602
"160",75797,1415,1049,"Black",38.85832,-77.06812
"161",65424,1205,782,"Black",38.87874,-77.08054
"162",44403,1209,1503,"Black",38.87835,-77.047
"163",72176,1315,1130,"Black",38.86805,-77.06435
"164",26723,693,1166,"Black",38.92859,-77.06271
"165",63732,766,1093,"Black",38.9214515262044,-77.0660774634324
"166",42207,622,789,"Black",38.93546,-77.08023
"167",23800,1379,1299,"Black",38.86178,-77.05648
"168",33555,899,1079,"Black",38.90846,-77.06672
"169",15101,1128,1480,"Black",38.88622,-77.04808
"170",36430,723,841,"Black",38.9256094530258,-77.0778339754531
"171",81070,973,817,"Black",38.9013,-77.07894
"172",46084,1709,971,"Black",38.82969,-77.07179
"173",13720,1026,1523,"Black",38.89613,-77.04608
"174",41059,918,1040,"Black",38.90667,-77.06855
"175",29909,945,955,"Black",38.90401,-77.07251
"176",15613,1244,842,"Black",38.87493,-77.07776
"177",56948,1153,1350,"Black",38.88381,-77.05413
"178",79443,1318,1119,"Black",38.8677730923192,-77.0648782753489
"179",54662,1584,1063,"Black",38.8418708107718,-77.0674613211516
"180",47959,186,757,"Black",38.97786,-77.08173
"181",12013,1558,1163,"Black",38.8444149538563,-77.0628293466754
"182",18201,365,973,"Black",38.96048,-77.07166
"183",22592,1410,1064,"Black",38.85877,-77.06745
"184",80242,1258,1274,"Black",38.87359,-77.05769
"185",34083,1409,1175,"Black",38.85883,-77.06227
"186",11346,1219,1496,"Black",38.87733,-77.04735
"187",72689,492,780,"Black",38.94813,-77.08065
"188",21761,1595,951,"Black",38.84074,-77.07271
"189",89996,796,870,"Black",38.91848,-77.07644
"190",56252,1423,1039,"Black",38.85752,-77.0686
"191",88549,952,1489,"Black",38.90331,-77.04767
"192",17643,996,1166,"Black",38.89905,-77.0627
"193",27053,1756,881,"Black",38.8251050891771,-77.0759547542743
"194",38619,960,1137,"Black",38.90252,-77.06406
"195",37849,1724,997,"Black",38.82825,-77.07056
"196",35152,500,1031,"Black",38.9472926737745,-77.0689708309088
"197",36188,974,1366,"Black",38.90123,-77.05339
"198",70416,1544,1169,"Black",38.84578,-77.06257
"199",18541,1012,1103,"Black",38.8975,-77.0656
"200",81930,857,835,"Black",38.9126,-77.0781
"201",39455,1531,1133,"Black",38.84705,-77.06422
"202",55036,1742,945,"Black",38.82644,-77.07295
"203",85492,1450,1056,"Black",38.85492,-77.0678
"204",77381,1549,940,"Black",38.84529,-77.07322
"205",76736,1658,1049,"Black",38.83465,-77.06812
"206",79365,1806,887,"Black",38.820211965923,-77.075664507394
"207",15271,879,1452,"Black",38.91047,-77.04939
"208",56906,244,752,"Black",38.97225,-77.08194
"209",67528,503,757,"Black",38.947034018706,-77.0817363978103
"210",63354,1727,869,"Black",38.82797,-77.07651
"211",36534,1464,1065,"Black",38.85351,-77.06737
"212",22153,934,1156,"Black",38.90511,-77.06314
"213",10076,1878,833,"Black",38.81321,-77.0782
"214",78182,332,771,"Black",38.96363,-77.08107
"215",24935,989,1408,"Black",38.89979,-77.05142
"216",31515,1095,1445,"Black",38.8894,-77.04969
"217",62490,933,1083,"Black",38.90521,-77.06655
"218",75648,1358,1269,"Black",38.8638093898838,-77.0578897551388
"219",68350,1324,1069,"Black",38.8671980482867,-77.0672045133669
"220",58896,1354,1209,"Black",38.8642064799315,-77.0607114610518
"221",15014,1779,868,"Black",38.8228419864865,-77.07654631556
"222",45128,1231,851,"Black",38.8762450728331,-77.0773354266405
"223",52268,239,746,"Black",38.97273,-77.08221
"224",15365,1578,933,"Black",38.84247,-77.07351
"225",25051,969,1129,"Black",38.90169,-77.06443
"226",54304,1291,1389,"Black",38.87039,-77.05231
"227",88881,606,664,"Black",38.937,-77.08604
"228",73971,1144,1391,"Black",38.88465,-77.05224
"229",78234,410,990,"Black",38.9560548302921,-77.0708708934855
"230",38450,132,744,"Black",38.98314,-77.08231
"231",11933,345,929,"Black",38.96238,-77.0737
"232",26914,1202,838,"Black",38.87902,-77.07793
"233",64482,927,1037,"Black",38.90576,-77.06867
"234",13009,1713,996,"Black",38.8292935199081,-77.0705857981251
"235",41483,1427,1154,"Black",38.85718,-77.06325
"236",64637,1714,996,"Black",38.82923,-77.0706
"237",31617,1152,1534,"Black",38.88384,-77.04559
"238",78214,990,1005,"Black",38.89967,-77.07018
"239",80983,1083,1438,"Black",38.89055,-77.05001
"240",31839,1345,1343,"Black",38.8651,-77.05444
"241",59635,1008,1167,"Black",38.89789,-77.06263
"242",36810,1220,1217,"Black",38.87724,-77.0603
"243",19957,1561,1066,"Black",38.8440831673295,-77.0673259832207
"244",41880,1595,997,"Black",38.84077,-77.07058
"245",47916,759,849,"Black",38.92215,-77.07742
"246",15359,773,874,"Black",38.9207994422485,-77.0762713125554
"247",86224,1197,1532,"Black",38.87949,-77.04568
"248",65329,822,1177,"Black",38.91595,-77.06217
"249",63846,1710,961,"Black",38.82963,-77.07225
"250",40600,422,763,"Black",38.95487,-77.08146
"251",45466,446,843,"Black",38.9526088906092,-77.0777013144153
"252",18306,280,722,"Black",38.96874,-77.08335
"253",11326,798,813,"Black",38.9183,-77.0791
"254",32570,936,1054,"Black",38.9048556580893,-77.0679078920033
"255",41024,1557,1046,"Black",38.84443,-77.06829
"256",49129,1602,1000,"Black",38.8400785498481,-77.070420914306
"257",60679,1691,996,"Black",38.83142,-77.07061
"258",10534,68,679,"Black",38.98938,-77.08533
"259",36770,1008,1163,"Black",38.89791,-77.06285
"260",67182,1725,885,"Black",38.82813,-77.07576
"261",83697,1161,1282,"Black",38.88305,-77.0573
"262",62897,536,741,"Black",38.9437988270598,-77.0824662550602
"263",70252,1403,1258,"Black",38.8594709787246,-77.0584294723221
"264",48611,579,366,"Black",38.9396,-77.09993
"265",64662,545,800,"Black",38.94289,-77.0797
"266",29714,1250,854,"Black",38.87433,-77.07722
"267",79391,1223,813,"Black",38.87698,-77.07911
"268",86673,1508,1121,"Black",38.84921,-77.06478
"269",58506,648,1016,"Black",38.9329288769298,-77.0696879069232
"270",54624,1681,1024,"Black",38.83246,-77.06932
"271",54718,491,826,"Black",38.9481508536402,-77.0785069675876
"272",78712,492,990,"Black",38.94808,-77.07088
"273",12479,1242,1258,"Black",38.87517,-77.05842
"274",48700,939,1069,"Black",38.9046,-77.06723
"275",23613,850,1075,"Black",38.91323,-77.06692
"276",73191,463,736,"Black",38.95096,-77.08269
"277",52207,324,931,"Black",38.96443,-77.07363
"278",77826,601,791,"Black",38.93749,-77.08015
"279",57560,833,876,"Black",38.91496,-77.07619
"280",67141,1289,1111,"Black",38.87051,-77.06525
"281",81990,1824,848,"Black",38.8185086382714,-77.0774829489078
"282",39749,1675,909,"Black",38.83297,-77.07465
"283",46735,1260,858,"Black",38.8734,-77.07701
"284",78435,1725,998,"Black",38.82815,-77.07053
"285",13735,716,709,"Black",38.9262832504298,-77.0839530689113
"286",17031,1353,1164,"Black",38.86438,-77.06278
"287",53821,1306,1365,"Black",38.86886,-77.05341
"288",60380,417,673,"Black",38.9553666668112,-77.0856121144958
"289",42152,1044,1554,"Black",38.8943878019907,-77.0446318204921
"290",73146,1210,1431,"Black",38.8782,-77.05038
"291",26157,1145,1168,"Black",38.88459,-77.06258
"292",72011,922,1352,"Black",38.9063,-77.05404
"293",64912,265,855,"Black",38.9701533852582,-77.0771385077701
"294",88122,1264,1461,"Black",38.87299,-77.04897
"295",70105,487,769,"Black",38.94854,-77.08114
"296",75535,1086,1336,"Black",38.89028,-77.05479
"297",60272,1131,1117,"Black",38.8859169864259,-77.0649789802379
"298",86827,1489,1159,"Black",38.85112,-77.06302
"299",78412,756,1132,"Black",38.92238,-77.06426
"300",75453,1188,1450,"Black",38.88041,-77.04947
"301",13099,701,1278,"Black",38.9277662794332,-77.0574762866379
"302",64173,1121,1566,"Black",38.88688,-77.04407
"303",73745,1138,1463,"Black",38.88527,-77.04889
"304",10678,1086,1583,"Black",38.89032,-77.04329
"305",89567,641,1201,"Black",38.93362,-77.06105
"306",32285,774,917,"Black",38.92064,-77.07428
"307",79860,1777,881,"Black",38.82305,-77.07594
"308",62113,941,1070,"Black",38.90446,-77.06718
"309",85477,543,1139,"Black",38.94312,-77.06395
"310",49481,1190,901,"Black",38.88017,-77.07501
"311",54888,1183,1407,"Black",38.88085,-77.05146
"312",24692,991,1401,"Black",38.89955,-77.05174
"313",40411,743,671,"Black",38.9237,-77.08573
"314",60880,1700,962,"Black",38.83061,-77.07217
