xVal,yVal
0,16
1,17
2,17
3,17
4,17
5,16
6,16
7,15
8,15
9,14
10,14
11,13
12,12
13,12
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,12
23,13
24,14
25,15
26,17
27,19
28,22
29,25
30,28
31,32
32,36
33,40
34,43
35,46
36,49
37,50
38,51
39,52
40,52
41,52
42,51
43,49
44,47
45,43
46,38
47,32
48,27
49,23
50,21
51,19
52,19
53,19
54,20
55,21
56,21
57,21
58,22
59,21
60,19
61,17
62,16
63,14
64,13
65,12
66,11
67,10
68,10
69,9
70,8
71,8
72,7
73,7
74,6
75,6
76,5
77,5
78,5
79,4
80,4
81,4
82,3
83,3
84,3
85,3
86,2
87,2
88,2
89,2
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
